swing_id,session,user,level,side,pelvis_peak_vel,pelvis_peak_time_rel_hs,wrist_peak_vel,wrist_peak_time_rel_hs
376_3,376,215,college,R,730.5962730444564,0.07769999999999988,1480.8359593512444,0.16389999999999993
376_4,376,215,college,R,719.9578040589184,0.05830000000000002,1527.0327059768856,0.15270000000000006
376_6,376,215,college,R,693.4604307609844,0.09440000000000004,1415.4177586016365,0.19720000000000004
376_7,376,215,college,R,790.5570277587443,0.0694999999999999,1292.5125867321372,0.1473
376_8,376,215,college,R,752.1641536567267,0.08050000000000002,1324.55262606716,0.15829999999999989
378_1,378,57,college,R,847.5053452185008,0.11109999999999998,1193.950216727875,0.20279999999999998
378_2,378,57,college,R,807.1609175219586,0.10559999999999992,935.768801911968,0.18889999999999985
378_3,378,57,college,R,822.712500519264,0.12219999999999986,1170.65850008139,0.16110000000000002
378_4,378,57,college,R,822.3214901018335,0.11670000000000003,1009.7110059068833,0.19169999999999998
378_5,378,57,college,R,818.5191572429322,0.11939999999999995,1372.8291370125926,0.19720000000000004
378_6,378,57,college,R,829.9223456272822,0.11109999999999998,970.9979756170967,0.18330000000000002
378_7,378,57,college,R,828.3318687289653,0.11669999999999991,937.6508254932696,0.1945
383_1,383,94,college,L,729.2834625379147,0.09440000000000004,1053.6183557899653,0.15270000000000006
383_2,383,94,college,L,741.1009149151079,0.09719999999999995,1169.3806067525193,0.1694
383_3,383,94,college,L,745.2879284931228,0.09720000000000018,1408.2767653120354,0.17780000000000018
383_4,383,94,college,L,768.4163404620766,0.10549999999999993,1375.067575617355,0.17500000000000004
383_5,383,94,college,L,731.0146820554631,0.09719999999999995,1575.3325267778769,0.17779999999999996
383_6,383,94,college,L,735.9639820298477,0.09999999999999987,1451.742427055189,0.17769999999999997
383_7,383,94,college,L,756.9077383485387,0.08889999999999998,1528.0001136928818,0.16670000000000007
383_8,383,94,college,L,782.8859082504041,0.09730000000000005,1514.4675833653916,0.17230000000000012
391_1,391,103,high_school,R,815.0061887586744,0.0889000000000002,1113.72378343636,0.1473
